tr,site,plot,nvm,ncm,nvf,ncf,vrf,vrm,agb,nsc,sdn,ssr,pn,pr,fn,cn
0% lar,1,1,0.111,40.9,0.183,43.9,10.21666667,6.866666667,0.832,1.843,11.7,0.66,10288.4,4791,17.8,19.5
0% lar,1,2,0.132,43.4,0.174,44,8.366666667,7.25,1.045,2.008,11.3,0.58,11982.66667,5874.5,19.4,20.8
0% lar,1,3,0.137,41.2,0.166,37.5,8.066666667,5.166666667,0.983,1.9432,10.4,0.6,10741.73333,5047.9,17.3,18.3
0% lar,1,4,0.143,39.5,0.157,40.3,5.066666667,7.733333333,0.845,1.8403,10.6,0.56,12815.33333,5413.3,18.9,13.5
0% lar,1,5,0.152,40.5,0.117,41.6,9.866666667,13,1.024,2.0529,9,0.59,12848.66667,6356.1,15.2,16.8
0% lar,1,6,0.131,42.6,0.182,42.5,9.266666667,8.533333333,1.006,2.1381,10.9,0.61,11653.66667,5715.7,17.8,16.3
0% lar,1,7,0.172,40.6,0.215,42.9,14.01666667,7.916666667,1.17,2.808,10.2,0.75,12192.33333,5677.4,13.6,17.6
0% lar,1,8,0.155,42.9,0.167,41.7,9.566666667,4.816666667,0.897,1.957684,12.5,0.65,12059.66667,4500.9,19.3,15.4
0% lar,1,9,0.162,44.7,0.166,40.8,8.516666667,6.983333333,0.988,1.91957,9.9,0.64,11443,5597.2,15.5,15.8
0% lar,1,10,0.163,41.3,0.138,41.4,13.23333333,8.933333333,1.021,2.0158,12,0.73,11422,5375.6,16.5,18.2
0% lar,2,1,0.181,43,0.173,38.8,14.53333333,10.91666667,1.212,2.872,11.3,0.65,11303.33333,5672.3,17.4,14.3
0% lar,2,2,0.183,40.7,0.201,39.2,15.33333333,13.25,0.999,2.517,12,0.72,11463.8,6200.8,16.7,19.7
0% lar,2,3,0.189,43.8,0.194,43.6,13.1,11.08333333,0.909,2.68462,10.5,0.62,12827.33333,6324.5,16.9,13.6
0% lar,2,4,0.181,44.5,0.207,44.1,14.21666667,13.55,0.946,2.85,11.7,0.63,11041,5863.1,18.5,16.8
0% lar,2,5,0.195,37.5,0.252,42.7,15.81666667,11.73333333,1.233,2.9275,14.1,0.75,11585,6413,18.8,16.9
0% lar,2,6,0.122,40.4,0.141,39.5,12.08333333,10.55,0.808,1.98376,8.9,0.71,11625.66667,5481.1,12.5,18.5
0% lar,2,7,0.145,41.8,0.165,41.8,11.38333333,9.983333333,0.988,2.115,9,0.59,11498.33333,5630.9,15.3,19.3
0% lar,2,8,0.219,43.2,0.179,42.5,9.866666667,13.36666667,1.184,2.92857,8.1,0.59,11259.33333,5696.5,13.7,20.2
0% lar,2,9,0.185,40.3,0.224,43.7,11.96666667,11.88333333,1.109,2.893,8.2,0.64,11643.06667,5514.7,12.8,13.7
0% lar,2,10,0.119,41.7,0.147,43,5.05,10.78333333,0.816,1.8357,7.8,0.57,11571,5386.8,13.6,13.6
0% lar,3,1,0.1052,39.4,0.188,43.6,8.083333333,2.933333333,0.815,1.7814,9.9,0.58,12958.73333,4660.2,17.1,18
0% lar,3,2,0.205,40.5,0.214,40.5,12.56666667,11.38333333,1.203,2.99372,12.4,0.71,13573,5261.3,17.5,17.3
0% lar,3,3,0.173,41.6,0.243,39.5,16.61666667,7.683333333,1.229,2.843,12,0.76,12692.46667,4974.9,15.8,18.1
0% lar,3,4,0.174,43.7,0.218,39.5,8.416666667,9.833333333,1.124,2.448,9.4,0.6,10772.33333,5659.1,15.7,14.9
0% lar,3,5,0.157,41,0.212,42.5,13.38,5.616666667,0.927,2.624,11.5,0.68,13148.13333,5587,16.9,15.5
0% lar,3,6,0.156,44.5,0.17,40.8,7.15,6.55,1.019,2.05783,7.9,0.6,10600.73333,4700.5,13.2,15.3
0% lar,3,7,0.171,43.3,0.136,41.7,9.283333333,9.9,0.991,2.17581,7.6,0.59,12024.46667,5667.7,12.8,16
0% lar,3,8,0.155,40.8,0.155,40.2,8.65,10.76666667,1.108,2.3602,8,0.6,9663.933333,5603.6,13.4,17.5
0% lar,3,9,0.183,42.5,0.16,43.9,10.08333333,11.55,1.204,2.69174,9.5,0.69,9526,6372.5,13.8,18.4
0% lar,3,10,0.161,39.1,0.184,42.6,12.48333333,8.466666667,1.07,2.59857,9.8,0.69,12468.66667,5471.2,14.2,19.2
30% lar,1,1,0.073,40.5,0.207,42.7,11.72,1.35,1.106,1.829,12.3,0.68,13091.4,2393.3,18.1,14.3
30% lar,1,2,0.043,42.2,0.188,39.6,10.73666667,0.7,1.151,1.91456,12.3,0.64,10992.8,1960.7,19.2,16.8
30% lar,1,3,0.061,38.7,0.181,42.3,12.57,1.55,1.271,1.523,10.6,0.62,12189.1,2371.4,17.1,13.6
30% lar,1,4,0.082,41.5,0.171,40.2,11.10333333,1.75,1.224,1.52785,9.7,0.59,10010.5,2212,16.4,17.7
